"shop_id","product_id","updated_at","quantity"
4001,4100024575,"2014-12-04",1
4001,4100024575,"2015-08-31",0
4001,4100024495,"2015-03-06",0
4001,4100024495,"2014-12-04",1
4001,4300007744,"2013-01-04",0
4001,4300040618,"2015-08-31",0
4001,4300040618,"2013-04-17",1
4001,4300040618,"2015-12-29",0
4001,4300040618,"2015-08-31",1
4001,4300058438,"2013-01-05",0
4001,4300058438,"2016-09-03",2
4001,4300058770,"2015-08-31",1
4001,4300058770,"2016-04-04",0
4001,4300058770,"2015-08-31",0
4001,4300058770,"2013-04-17",1
4001,4100027215,"2013-05-20",1
4001,4100027215,"2013-11-25",0
4001,4100056225,"2014-12-08",1
4001,4100056225,"2015-09-05",1
4001,4100056225,"2015-01-18",0
4001,4100051992,"2015-08-31",1
4001,4100051992,"2015-08-31",0
4001,4100051992,"2014-09-23",1
4001,4100051992,"2015-10-30",0
4001,4100058966,"2016-09-09",1
4001,4300040574,"2013-10-09",0
4001,4300040574,"2013-05-27",1
4001,4300074839,"2015-08-31",0
4001,4300074839,"2015-11-28",0
4001,4300074839,"2015-08-31",1
4001,4300074839,"2013-12-09",1
4001,4300042942,"2013-11-25",1
4001,4300042942,"2015-08-31",1
4001,4300042942,"2015-08-31",0
4001,4300015137,"2013-03-09",0
4001,4100055785,"2014-09-30",0
4001,4100055785,"2016-01-07",0
4001,4100055785,"2015-10-26",1
4001,4100055785,"2014-04-30",1
4001,4300026405,"2015-09-03",0
4001,4100016428,"2015-08-31",0
4001,4100016428,"2013-09-20",1
4001,4100016428,"2015-08-31",1
4001,4100052321,"2014-03-28",1
4001,4100052321,"2014-06-17",0
4001,4100047992,"2013-12-23",1
4001,4100047992,"2014-08-22",0
4001,4100041083,"2015-08-31",0
4001,4100041083,"2015-12-17",0
4001,4100041083,"2015-08-31",1
4001,4100041083,"2016-02-12",1
4001,4100028386,"2014-12-21",0
4001,4100028386,"2016-10-12",0
4001,4100028386,"2016-03-09",1
4001,4100024538,"2014-12-04",1
4001,4100024538,"2015-08-31",0
4001,4100024538,"2015-08-31",1
4001,4100004995,"2013-03-17",0
4001,4300051263,"2015-04-29",0
4001,4300051263,"2014-08-20",1
4001,4100037345,"2013-04-17",1
4001,4100037345,"2015-02-25",0
4001,4300076490,"2015-08-31",2
4001,4300076490,"2015-08-31",0
4001,4300076490,"2014-11-27",2
4001,4100016278,"2015-08-31",0
4001,4100016278,"2014-06-16",1
4001,4100016278,"2015-08-31",1
4001,4100041263,"2015-12-25",0
4001,4100041263,"2015-08-31",1
4001,4100041263,"2013-02-22",1
4001,4100041263,"2015-08-31",0
4001,4100024503,"2014-12-04",1
4001,4100024503,"2015-03-15",0
4001,4100041521,"2015-08-31",1
4001,4100041521,"2015-08-31",0
4001,4100041521,"2014-12-08",1
4001,4100041958,"2014-08-17",0
4001,4100041958,"2014-03-19",1
4001,4100027216,"2013-06-05",1
4001,4100027216,"2014-12-22",0
4001,4100028417,"2013-12-20",0
4001,4100027530,"2015-07-09",0
4001,4100027530,"2013-05-27",1
4001,4100036217,"2015-08-31",1
4001,4100036217,"2014-03-19",1
4001,4100036217,"2015-08-31",0
4001,4100020347,"2014-11-27",0
4001,4100020347,"2014-09-02",1
4001,4300073651,"2014-12-11",0
4001,4300073651,"2013-12-16",1
4001,4300071353,"2013-12-20",1
4001,4300071353,"2015-08-31",0
4001,4300071353,"2016-04-22",0
4001,4300071353,"2015-08-31",1
4001,4100028076,"2015-05-02",0
4001,4100028076,"2013-05-20",1
4001,4300058613,"2014-03-14",0
4001,4300058688,"2015-01-29",0
4001,4300041134,"2016-04-16",1
4001,4300041134,"2016-08-15",0
4001,4300059121,"2015-08-31",1
4001,4300059121,"2015-12-31",0
4001,4300059121,"2015-08-31",0
4001,4100065913,"2016-03-07",1
4001,4100065925,"2016-04-18",1
4001,4300078080,"2015-10-03",1
4001,4300077820,"2016-09-28",0
4001,4300077820,"2015-11-06",1
4001,4300077837,"2016-07-02",1
4001,4100041105,"2014-05-28",0
4001,4100041434,"2014-05-28",0
4001,4100041434,"2013-09-06",1
4001,4100025134,"2015-08-31",1
4001,4100025134,"2015-08-31",0
4001,4100025134,"2013-08-16",1
4001,4100041216,"2015-08-31",1
4001,4100041216,"2016-05-17",0
4001,4100041216,"2015-08-31",0
4001,4300041874,"2015-08-31",1
4001,4300041874,"2015-08-31",0
4001,4100040925,"2013-04-17",1
4001,4100040925,"2014-09-29",0
4001,4300041171,"2015-08-31",1
4001,4300041171,"2015-08-31",0
4001,4300041171,"2013-05-17",1
4001,4100014070,"2015-08-31",0
4001,4100014070,"2015-08-31",1
